split,seed,target_prev,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,train_prev_effective,test_prev
S1,1007,-1.0,svm_linear_cal,0.9080211893934432,0.01676096088891963,0.488245250545143,0.023152531747241998,0.017658164203200707,0.000736491269695935,0.02542433005992011,0.02542432108626198
S1,1007,-1.0,xgb,0.960979673355466,0.0033351614725278898,0.5795996254077543,0.02269037582703033,0.01580874821325679,0.0005051148511900125,0.02542433005992011,0.02542432108626198
S1,1008,-1.0,extratrees,0.9501097580655531,0.0026919674157500264,0.5422771990371789,0.0576817549729275,0.017789080053939678,0.0010404389523268722,0.02542433005992011,0.02542432108626198
S1,1008,-1.0,lr_l2,0.9205506849848455,0.008701684529245628,0.47806215710443334,0.04663992623440674,0.017741179854414736,0.0010148094827471987,0.02542433005992011,0.02542432108626198
S1,1008,-1.0,rf,0.9514793752156031,0.007060631641381259,0.5631041825798494,0.045897614561031176,0.0167939436013686,0.000774925747129435,0.02542433005992011,0.02542432108626198
S1,1008,-1.0,svm_linear_cal,0.912790303938214,0.010228018381399228,0.48093317393244667,0.04712626205639176,0.017832189332508457,0.0009989257228104767,0.02542433005992011,0.02542432108626198
S1,1008,-1.0,xgb,0.9560826346285088,0.006585160073376301,0.5704134930241949,0.03734636262166249,0.016141319027982423,0.0009673120902520155,0.02542433005992011,0.02542432108626198
S1,1009,-1.0,extratrees,0.949961757740226,0.004603159953056972,0.5496646144754076,0.03770744189056739,0.01775023391872769,0.0006971016348183133,0.02542433005992011,0.02542432108626198
S1,1009,-1.0,lr_l2,0.9181115004754539,0.016310711494157602,0.4663099789488448,0.05091395368476339,0.017940952646229864,0.0010622172145069728,0.02542433005992011,0.02542432108626198
S1,1009,-1.0,rf,0.9536969058619797,0.008472954814316348,0.572116907269273,0.046249377756932164,0.0166047478365301,0.0005960558755791752,0.02542433005992011,0.02542432108626198
S1,1009,-1.0,svm_linear_cal,0.9137571477961359,0.01888282354276229,0.4800214627381803,0.037796747862409184,0.017837094586534666,0.0008330787888364867,0.02542433005992011,0.02542432108626198
S1,1009,-1.0,xgb,0.9627725221091822,0.008297194016593614,0.5906412684681124,0.06286947827829222,0.015646815816659908,0.0011384993285917515,0.02542433005992011,0.02542432108626198
S1,1010,-1.0,extratrees,0.9464561901320068,0.015215712859574413,0.5360564911083643,0.03816188956301162,0.017861412303937833,0.0006456471702566449,0.02542433005992011,0.02542432108626198
S1,1010,-1.0,lr_l2,0.9107200380039012,0.019913572373936577,0.46125027823320763,0.03723094717268317,0.01799145851332905,0.0008596865411089395,0.02542433005992011,0.02542432108626198
