split,miss_rate,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.9,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.9,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.9,False,False
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.9,False,False
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.9,False,False
