split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S2,1018,0.05,xgb,xgb,1,0.9581789560713456,0.5508251713720801,0.0163545325007186
S2,1019,0.05,xgb,xgb,1,0.9587408178665184,0.5425430537618524,0.0163500507550268
S2,1020,0.05,xgb,xgb,1,0.9575454800725696,0.5521604060572103,0.016029903984956
S2,1001,0.1,xgb,xgb,1,0.9548324616570104,0.5331650630609394,0.0165097228985338
S2,1002,0.1,xgb,xgb,1,0.9565828979666152,0.5401785842687852,0.0163880950981133
S2,1003,0.1,xgb,xgb,1,0.9570621159042711,0.5525261733238521,0.0160531815072613
S2,1004,0.1,xgb,xgb,1,0.9565388440073418,0.5600790535010379,0.0162076421063517
S2,1005,0.1,xgb,xgb,1,0.955279634304129,0.551913962011574,0.0162854801501357
S2,1006,0.1,xgb,xgb,1,0.9558180292432128,0.5527038436207506,0.0161999518809865
S2,1007,0.1,xgb,xgb,1,0.9571113947856874,0.5595529091803615,0.0162697864807895
S2,1008,0.1,xgb,xgb,1,0.9542389037100713,0.5494296434212501,0.0162616980888098
S2,1009,0.1,xgb,xgb,1,0.9555221442963964,0.5418418898522487,0.0163827662998149
S2,1010,0.1,xgb,xgb,1,0.9567950055592956,0.5290102477225627,0.0169185524618434
S2,1011,0.1,xgb,xgb,1,0.9574761133539268,0.5580379922887356,0.0160321818895984
S2,1012,0.1,xgb,xgb,1,0.9572741052727902,0.5446869244334718,0.0165083156320313
S2,1013,0.1,xgb,xgb,1,0.9586355093456448,0.5456526423432866,0.0161984223096222
S2,1014,0.1,xgb,xgb,1,0.9547587010899896,0.5472041015863854,0.0165725277414881
S2,1015,0.1,xgb,xgb,1,0.9526369955398346,0.5180082271925741,0.0168498570758197
S2,1016,0.1,xgb,xgb,1,0.9527438122024776,0.5271128017462289,0.0169041927381781
S2,1017,0.1,xgb,xgb,1,0.957462889343723,0.5293479976845944,0.0166912767721969
S2,1018,0.1,xgb,xgb,1,0.955986371997558,0.5488901484693995,0.0162120660699097
S2,1019,0.1,xgb,xgb,1,0.9577538157761568,0.5161565605481686,0.0168581186633594
S2,1020,0.1,xgb,xgb,1,0.9562057094862562,0.5488785140439416,0.0162329410311534
S2,1001,0.2,xgb,xgb,1,0.9506323696192658,0.499754107865704,0.0172188288711991
S2,1002,0.2,xgb,xgb,1,0.9509164031000502,0.4961338138564466,0.0174085902663374
S2,1003,0.2,xgb,xgb,1,0.9525476180640152,0.5002996719454341,0.0173610599498757
S2,1004,0.2,xgb,xgb,1,0.9546493863520472,0.5197230447560521,0.0169878570168321
S2,1005,0.2,xgb,xgb,1,0.9522963852811864,0.5134101931888676,0.0172399295350831
S2,1006,0.2,xgb,xgb,1,0.9502824599589176,0.5146898865003384,0.0171982772452575
S2,1007,0.2,xgb,xgb,1,0.9504245487044504,0.5027947871180355,0.0173402752252626
S2,1008,0.2,xgb,xgb,1,0.954967305555632,0.5111943232494862,0.0172553058145976
S2,1009,0.2,xgb,xgb,1,0.948208901142246,0.5033980788516212,0.0172834254760842
