split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.4,4,lr_l2,0.8771460965338517,0.3707522986569417,0.0196896336994704,"{""clf__C"": 1.0}"
S1,1001,0.4,4,rf,0.9097045068027212,0.446167885375123,0.0188736939709595,"{""clf__max_depth"": null}"
S1,1001,0.4,4,svm_linear_cal,0.8737396744412051,0.4005247363425359,0.0194123843982984,"{""clf__C"": 0.1}"
S1,1001,0.4,4,xgb,0.923909742468416,0.4166813387320908,0.0191388395732224,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.4,5,extratrees,0.9190860868156788,0.4437994028735086,0.0201563601496139,"{""clf__max_depth"": 12}"
S1,1001,0.4,5,lr_l2,0.8863530531260123,0.3613106623008448,0.0198005491547513,"{""clf__C"": 1.0}"
S1,1001,0.4,5,rf,0.9263949627470036,0.468478107380634,0.0188895558857945,"{""clf__max_depth"": 12}"
S1,1001,0.4,5,svm_linear_cal,0.8733701814058956,0.3742738295485636,0.0194022590286145,"{""clf__C"": 0.1}"
S1,1001,0.4,5,xgb,0.9372975380628442,0.4270947314405973,0.0187649181691843,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.5,1,extratrees,0.8996837684679214,0.3069959830966896,0.0211468909004851,"{""clf__max_depth"": null}"
S1,1001,0.5,1,lr_l2,0.8702641165755919,0.2501837230509209,0.021933815956143,"{""clf__C"": 1.0}"
S1,1001,0.5,1,rf,0.9032660392633072,0.3664278679121756,0.0201795428548889,"{""clf__max_depth"": null}"
S1,1001,0.5,1,svm_linear_cal,0.8488210888484112,0.2503945630301205,0.0219952833465632,"{""clf__C"": 0.1}"
S1,1001,0.5,1,xgb,0.9294120623355596,0.3948527420306947,0.0194157019040607,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.5,2,extratrees,0.926083275609944,0.4620709101344962,0.0190804480350378,"{""clf__max_depth"": null}"
S1,1001,0.5,2,lr_l2,0.9015469868390672,0.4259246113375062,0.0184407605662671,"{""clf__C"": 1.0}"
S1,1001,0.5,2,rf,0.935221529541548,0.4667948373694495,0.0186448850812176,"{""clf__max_depth"": 12}"
S1,1001,0.5,2,svm_linear_cal,0.8920239103106802,0.4248705299091762,0.0188336095042054,"{""clf__C"": 0.1}"
S1,1001,0.5,2,xgb,0.9236871135739756,0.4254353920178619,0.0184897966954343,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.5,3,extratrees,0.9357269298853228,0.5095743632687639,0.0191924656723484,"{""clf__max_depth"": null}"
S1,1001,0.5,3,lr_l2,0.856476564303856,0.3616919049926713,0.0195784225918895,"{""clf__C"": 1.0}"
S1,1001,0.5,3,rf,0.932148079735242,0.4701791943529627,0.0192796088479488,"{""clf__max_depth"": 12}"
S1,1001,0.5,3,svm_linear_cal,0.8551117268272659,0.3650169396735325,0.0200416431641609,"{""clf__C"": 1.0}"
S1,1001,0.5,3,xgb,0.9426460401754791,0.4460546370684447,0.0181449750296576,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.5,4,extratrees,0.893942844995141,0.3169114253838692,0.0210323252051767,"{""clf__max_depth"": null}"
S1,1001,0.5,4,lr_l2,0.8729753806284418,0.3134449469321191,0.0204754270220823,"{""clf__C"": 0.1}"
S1,1001,0.5,4,rf,0.8925686345966959,0.3774029960751,0.0199112837357954,"{""clf__max_depth"": null}"
S1,1001,0.5,4,svm_linear_cal,0.8747570456754131,0.3336740963299422,0.020524518315524,"{""clf__C"": 0.1}"
