split,seed,miss_rate,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std
S1,1004,0.7,lr_l2,0.858975511428026,0.01348045269093909,0.2850111562684836,0.051919424286152975,0.0212144765988931,0.000655168354488409
S1,1004,0.7,rf,0.8872368482026234,0.018412396176769517,0.333340056276371,0.06098028815806833,0.02120573420297442,0.0006433767785945425
S1,1004,0.7,svm_linear_cal,0.8520991836061951,0.020221393654891787,0.3015465636467286,0.07059005549577242,0.021264823644988502,0.0009175928299224076
S1,1004,0.7,xgb,0.8958895318825293,0.013336831511260222,0.3077015407710567,0.055477815894903804,0.02081285637164592,0.0010735769467148616
S1,1005,0.0,extratrees,0.951288311988353,0.012763184186322035,0.538668913493518,0.027819633961819676,0.01791853395303256,0.0005828535217278763
S1,1005,0.0,lr_l2,0.9179547068748397,0.02094111296824289,0.47660418691175765,0.017521427060184645,0.0177153198269009,0.0005275781004745957
S1,1005,0.0,rf,0.952802454999462,0.01703257045208253,0.5673639499486801,0.043474471192268486,0.016814057120154997,0.0004057839700628456
S1,1005,0.0,svm_linear_cal,0.9111153309821717,0.019650469602980555,0.48885569789411293,0.021211215374732955,0.01761879332662806,0.0005258216326985991
S1,1005,0.0,xgb,0.9612149953548285,0.01101811810397697,0.5760035494469381,0.03895785849809036,0.015949017874926162,0.0007688426843782353
S1,1005,0.05,extratrees,0.9523028023433049,0.00790850277421781,0.5324199355855128,0.03730966238351129,0.01785577362667538,0.00027763015443212807
S1,1005,0.05,lr_l2,0.9125838283836487,0.021511662227177732,0.4565731187401806,0.02097086418611948,0.01817500725308062,0.0006489816725322476
S1,1005,0.05,rf,0.9485336349285383,0.0213693906297091,0.5557271354627528,0.047006710506556734,0.01699930449352376,0.0005265161811090467
S1,1005,0.05,svm_linear_cal,0.9048729477146221,0.02047858471916133,0.46380236877065145,0.029615928570295887,0.01814643128517634,0.000641767969693524
S1,1005,0.05,xgb,0.9566595699288147,0.00932989823620301,0.5470257822902015,0.0435012174400236,0.016481924348588438,0.0008402991145100978
S1,1005,0.1,extratrees,0.9455755325713497,0.01712686918280236,0.5285214205624588,0.030719617094023998,0.01800507933336398,0.00019073422946362762
S1,1005,0.1,lr_l2,0.9109354098437112,0.019693685494148377,0.46216963194248784,0.028625246992038934,0.01792224498932028,0.0006276391993083901
S1,1005,0.1,rf,0.9458932579607728,0.024350340644574,0.5495995649508496,0.045454738339019946,0.01721978594847972,0.0004709613042437963
S1,1005,0.1,svm_linear_cal,0.9017149829128129,0.021507236083413594,0.47395830318520826,0.027032126716424004,0.017872090192112118,0.0006692780859191218
S1,1005,0.1,xgb,0.9554031070720239,0.007469458103599242,0.5571095424518697,0.03427988893543758,0.016203431797513202,0.0008941171863882847
S1,1005,0.2,extratrees,0.9433220383112191,0.01181123571054578,0.49949288219607785,0.05262468743920747,0.01869655272516328,0.00039186616284234464
